"park_era_id","venue_id","venue_name","home_team","component","delta_overall","pf_index_overall","park_se","n_bbe"
"venue_2__wall_deep","2","Oriole Park at Camden Yards","BAL","xbh_resid",-0.0119403034018118,210.35767652102,0.00288539809198678,12368
"venue_2889__base","2889","Busch Stadium","STL","xbh_resid",-0.0116131142706165,207.333646805311,0.00189164448110591,42405
"venue_16__base","16","Turner Field","ATL","xbh_resid",-0.0090938851577961,184.049793610025,0.0034030271267718,8142
"venue_4169__cf_in_407","4169","Marlins Park","MIA","xbh_resid",-0.00840917082360917,177.721354502687,0.00263542688082542,16372
"venue_2395__base","2395","AT&T Park","SFG","xbh_resid",-0.00812037250471494,175.05215001233,0.00242254152482595,20624
"venue_2395__bullpen_center","2395","Oracle Park","SFG","xbh_resid",-0.00753957562849404,169.684162982731,0.0023444051938726,21341
"venue_3289__base","3289","Citi Field","NYM","xbh_resid",-0.0070480566720651,165.141322807555,0.00216597128071525,27672
"venue_3289__rf_in_362","3289","Citi Field","NYM","xbh_resid",-0.00664514082634446,161.417392596495,0.00279869336234413,12918
"venue_4169__base","4169","Marlins Park","MIA","xbh_resid",-0.00643381890599526,159.464259971393,0.00433099970020241,4273
"venue_2394__base","2394","Comerica Park","DET","xbh_resid",-0.00613438551667726,156.696761357167,0.00214159488163918,30007
"venue_680__base","680","T-Mobile Park","SEA","xbh_resid",-0.00550942161153017,150.920562699512,0.00191188930600925,40356
"venue_5150__base","5150","Gocheok Sky Dome","LAD","xbh_resid",-0.00548533282472097,150.697923252841,0.00754861154080927,123
"venue_4169__fence_reduced","4169","loanDepot park","MIA","xbh_resid",-0.0054206918272951,150.100481961454,0.00232940856025279,21742
"venue_10__base","10","Oakland Coliseum","ATH","xbh_resid",-0.00492479186838419,145.517150582792,0.00197462662261696,37462
"venue_2680__base","2680","Petco Park","SDP","xbh_resid",-0.0048502990018977,144.828653868245,0.00190734147600642,40637
"venue_5__wind_tunnel","5","Progressive Field","CLE","xbh_resid",-0.00467573829562588,143.21528498575,0.00320378844795101,9020
"venue_1__base","1","Angel Stadium","LAA","xbh_resid",-0.00460132002776296,142.527477745373,0.00190082297866442,41443
"venue_2394__cf_in_412","2394","Comerica Park","DET","xbh_resid",-0.00399374354144788,136.911981465072,0.00280008314394579,13067
"venue_5325__globe_life","5325","Globe Life Field","TEX","xbh_resid",-0.00388761625103151,135.931105117822,0.00234895120695908,21235
"venue_2523__steinbrenner","2523","George M. Steinbrenner Field","TBR","xbh_resid",-0.0038272244577381,135.372936890055,0.00430945318414655,4071
"venue_6130__base","6130","Bristol Motor Speedway","CIN","xbh_resid",-0.00328220800834497,130.335648724359,0.00781320480587706,44
"venue_4__base","4","Guaranteed Rate Field","CHW","xbh_resid",-0.00312460710628149,128.879030011747,0.00190205342879363,41239
"venue_3309__base","3309","Nationals Park","WSH","xbh_resid",-0.0030307655987475,128.011704418403,0.00188746280840511,42510
"venue_12__trop_return","12","Tropicana Field","TBR","xbh_resid",-0.00299345753083567,127.666886405688,0.0061187880356919,931
"venue_31__base","31","PNC Park","PIT","xbh_resid",-0.00264579708807903,124.453651583273,0.00189022204168028,42411
"venue_7__base","7","Kauffman Stadium","KCR","xbh_resid",-0.00222387450207734,120.554052494709,0.0018964157938161,42977
"venue_4705__suntrust","4705","Truist Park","ATL","xbh_resid",-0.0019723718422016,118.229551328472,0.00203373358230658,33199
"venue_2735__base","2735","Journey Bank Ballpark","NYM","xbh_resid",-0.00117644337957427,110.873221019547,0.00711881597829666,269
"venue_5365__base","5365","TD Ameritrade Park","KCR","xbh_resid",-0.00112728080685053,110.418838319627,0.00782131987962967,44
"venue_3313__base","3313","Yankee Stadium","NYY","xbh_resid",-0.00110091333392577,110.175138226774,0.0019090134349522,40556
"venue_17__base","17","Wrigley Field","CHC","xbh_resid",-0.000916408700637112,108.469863079912,0.0019036283814427,41146
"venue_12__base","12","Tropicana Field","TBR","xbh_resid",-0.000845165149285836,107.811398003301,0.00199404955446858,35392
"venue_2536__base","2536","TD Ballpark","TOR","xbh_resid",-0.000620476616865454,105.734725112806,0.00780669180835127,46
"venue_2756__base","2756","Sahlen Field","TOR","xbh_resid",-3.05313802654468e-05,100.282184804999,0.00782445986806255,41
"venue_3949__base","3949","Rickwood Field","STL","xbh_resid",0.000284175059457549,97.3735257613137,0.00785684276002376,32
"venue_3312__base","3312","Target Field","MIN","xbh_resid",0.000371708745220283,96.5644999055192,0.00188469057040867,43150
"venue_15__humidor","15","Chase Field","AZ","xbh_resid",0.00199268792323674,81.5826782754504,0.00209333137456594,30445
"venue_2397__base","2397","Tokyo Dome","CHC","xbh_resid",0.00230378866143789,78.7073447536369,0.00766136669511925,88
"venue_7__walls_in","7","Kauffman Stadium","KCR","xbh_resid",0.00332827659561942,69.2385645865487,0.00591788153711585,1155
"venue_2681__base","2681","Citizens Bank Park","PHI","xbh_resid",0.00336317980643122,68.915973349233,0.0018963995207537,41699
"venue_2__base","2","Oriole Park at Camden Yards","BAL","xbh_resid",0.00380966610236899,64.7893453599735,0.00225949867652184,25516
"venue_14__base","14","Rogers Centre","TOR","xbh_resid",0.00399578558836338,63.0691450151053,0.00191242579778257,40396
"venue_32__base","32","American Family Field","MIL","xbh_resid",0.00412273124135391,61.8958559589535,0.0019134474843823,40326
"venue_5__base","5","Progressive Field","CLE","xbh_resid",0.0043407812355903,59.8805394364522,0.0020674655282345,32332
"venue_2__wall_medium","2","Oriole Park at Camden Yards","BAL","xbh_resid",0.0048221017428627,55.4319579342065,0.00387759330491627,5322
"venue_2392__base","2392","Minute Maid Park","HOU","xbh_resid",0.00503533862488818,53.4611263684569,0.0019049492838517,40963
"venue_22__base","22","Dodger Stadium","LAD","xbh_resid",0.00514629383618036,52.4356281960867,0.00191082472859129,40181
"venue_5381__base","5381","London Stadium","BOS","xbh_resid",0.00520721976815076,51.8725232174384,0.00694164425925803,346
"venue_13__base","13","Globe Life Park in Arlington","TEX","xbh_resid",0.00707222145719742,34.6353353349483,0.00241337819629638,21464
"venue_2756__buffalo","2756","Sahlen Field","TOR","xbh_resid",0.00779118127322605,27.9903840184801,0.00563698547779751,1197
"venue_3__base","3","Fenway Park","BOS","xbh_resid",0.00905867867188552,16.2756006327187,0.00188190525818932,43418
"venue_2602__base","2602","Great American Ball Park","CIN","xbh_resid",0.00945787480494673,12.5860496859542,0.00190282127097333,41232
"venue_2536__dunedin","2536","TD Ballpark","TOR","xbh_resid",0.0118582100983031,-9.59893313500237,0.0057751153775189,1086
"venue_2529__sutter_health","2529","Sutter Health Park","ATH","xbh_resid",0.0132188422966067,-22.1745104006264,0.00390739233695207,5251
"venue_5340__base","5340","Estadio Alfredo Harp Helu","AZ","xbh_resid",0.0142821321936202,-32.0019158319554,0.00698248985852538,326
"venue_15__base","15","Chase Field","AZ","xbh_resid",0.0151191294102834,-39.7378221131559,0.00293327184190956,12397
"venue_19__base","19","Coors Field","COL","xbh_resid",0.0192622993193412,-78.0308695516358,0.00187263253578409,44926
