"park_era_id","venue_id","venue_name","home_team","component","delta_overall","pf_index_overall","park_se","n_bbe"
"venue_2395__base","2395","AT&T Park","SFG","hr_resid",-0.0111028796856047,486.399743016213,0.00147829303108377,20624
"venue_2395__bullpen_center","2395","Oracle Park","SFG","hr_resid",-0.00934011264188619,425.052349188882,0.00143435072799744,21341
"venue_7__base","7","Kauffman Stadium","KCR","hr_resid",-0.00807938833328319,381.176925636369,0.00119863977835628,42977
"venue_2889__base","2889","Busch Stadium","STL","hr_resid",-0.00700833227541584,343.90229083577,0.00119680621056221,42405
"venue_2__wall_deep","2","Oriole Park at Camden Yards","BAL","hr_resid",-0.00642105563091048,323.4640305878,0.00172438152427306,12368
"venue_16__base","16","Turner Field","ATL","hr_resid",-0.00626975217621639,318.19840422178,0.0020475542706081,8142
"venue_2394__base","2394","Comerica Park","DET","hr_resid",-0.0058489998802684,303.555484219812,0.0013214098241724,30007
"venue_4169__base","4169","Marlins Park","MIA","hr_resid",-0.00584606259690418,303.453261592058,0.0026351612157729,4273
"venue_10__base","10","Oakland Coliseum","ATH","hr_resid",-0.00556346911823062,293.618511452498,0.00123640857056269,37462
"venue_15__humidor","15","Chase Field","AZ","hr_resid",-0.00555250708390955,293.237013375914,0.00129957299422318,30445
"venue_5150__base","5150","Gocheok Sky Dome","LAD","hr_resid",-0.00546538913804505,290.205155619427,0.00578632787143255,123
"venue_31__base","31","PNC Park","PIT","hr_resid",-0.00539616883506072,287.79616731711,0.00119585999477104,42411
"venue_4169__fence_reduced","4169","loanDepot park","MIA","hr_resid",-0.00530623814179056,284.666421003286,0.0014258143845358,21742
"venue_12__trop_return","12","Tropicana Field","TBR","hr_resid",-0.00491964052816004,271.212144024027,0.0041322926813342,931
"venue_3__base","3","Fenway Park","BOS","hr_resid",-0.00472963191066007,264.59950991001,0.0011929227633318,43418
"venue_4169__cf_in_407","4169","Marlins Park","MIA","hr_resid",-0.00423096472591716,247.245014725747,0.00159341177568634,16372
"venue_7__walls_in","7","Kauffman Stadium","KCR","hr_resid",-0.00309884934897998,207.845408218221,0.00396172003010325,1155
"venue_3312__base","3312","Target Field","MIN","hr_resid",-0.00294992621083555,202.662621055105,0.00119246283219332,43150
"venue_2735__base","2735","Journey Bank Ballpark","NYM","hr_resid",-0.00266469695398783,192.736141198752,0.00523314777098195,269
"venue_5__wind_tunnel","5","Progressive Field","CLE","hr_resid",-0.00240481728434377,183.691871566991,0.001919526787763,9020
"venue_3949__base","3949","Rickwood Field","STL","hr_resid",-0.00214362418899853,174.601892410515,0.0062367557671105,32
"venue_6130__base","6130","Bristol Motor Speedway","CIN","hr_resid",-0.00187570413243317,165.277803170859,0.00616990263787287,44
"venue_2536__base","2536","TD Ballpark","TOR","hr_resid",-0.00185982632400931,164.725227508655,0.00616011060728309,46
"venue_4705__suntrust","4705","Truist Park","ATL","hr_resid",-0.00127618138769933,144.413357094056,0.00126811044786183,33199
"venue_5365__base","5365","TD Ameritrade Park","KCR","hr_resid",-0.00119787695289941,141.688225025575,0.00618240594223746,44
"venue_2756__base","2756","Sahlen Field","TOR","hr_resid",-0.00118662778721653,141.296734272537,0.0061870320188287,41
"venue_12__base","12","Tropicana Field","TBR","hr_resid",-0.00103550463884311,136.037382883636,0.00125043247131323,35392
"venue_2397__base","2397","Tokyo Dome","CHC","hr_resid",-0.000869642761398678,130.265097797649,0.00594563404842738,88
"venue_2680__base","2680","Petco Park","SDP","hr_resid",-0.000749563244177312,126.086119378564,0.00120558174607124,40637
"venue_15__base","15","Chase Field","AZ","hr_resid",-0.000746389139862434,125.975654965159,0.00175888204398517,12397
"venue_3289__rf_in_362","3289","Citi Field","NYM","hr_resid",-0.000598327614233405,120.822853433154,0.00168598575205604,12918
"venue_2394__cf_in_412","2394","Comerica Park","DET","hr_resid",-0.00045218875452946,115.736964057311,0.00168072486481152,13067
"venue_5325__globe_life","5325","Globe Life Field","TEX","hr_resid",-0.000340429072662987,111.847530543159,0.00143373762150838,21235
"venue_3309__base","3309","Nationals Park","WSH","hr_resid",-0.000290848374429716,110.12203503223,0.00119623233362155,42510
"venue_5__base","5","Progressive Field","CLE","hr_resid",-4.85478652072781e-05,101.689551104872,0.00128953015499134,32332
"venue_3289__base","3289","Citi Field","NYM","hr_resid",0.000829054204036329,71.1474553938028,0.00134420913342954,27672
"venue_17__base","17","Wrigley Field","CHC","hr_resid",0.00142086790365262,50.5512976472952,0.00120345563704224,41146
"venue_680__base","680","T-Mobile Park","SEA","hr_resid",0.0014255651892307,50.3878238466562,0.00120635850598169,40356
"venue_5381__base","5381","London Stadium","BOS","hr_resid",0.00177135716194895,38.3536549482362,0.00502279608707391,346
"venue_14__base","14","Rogers Centre","TOR","hr_resid",0.00185668182511848,35.384206583917,0.00120879048230659,40396
"venue_1__base","1","Angel Stadium","LAA","hr_resid",0.00245353696174569,14.6125979615454,0.00120144172859915,41443
"venue_13__base","13","Globe Life Park in Arlington","TEX","hr_resid",0.00297579806180003,-3.56300697723526,0.00146321278491374,21464
"venue_4__base","4","Guaranteed Rate Field","CHW","hr_resid",0.00363800626868026,-26.6090174004143,0.00120268862015971,41239
"venue_19__base","19","Coors Field","COL","hr_resid",0.00482272805336376,-67.8394194321449,0.00118581253588541,44926
"venue_32__base","32","American Family Field","MIL","hr_resid",0.00489621417807168,-70.3968658340195,0.00120785902969556,40326
"venue_2392__base","2392","Minute Maid Park","HOU","hr_resid",0.00562760839273047,-95.8506710260289,0.00120675572764657,40963
"venue_2__wall_medium","2","Oriole Park at Camden Yards","BAL","hr_resid",0.00564332229924061,-96.397542613332,0.00234146407890331,5322
"venue_2523__steinbrenner","2523","George M. Steinbrenner Field","TBR","hr_resid",0.00584507358788566,-103.418842338547,0.00262995269123819,4071
"venue_3313__base","3313","Yankee Stadium","NYY","hr_resid",0.00603626197478887,-110.072534503011,0.00120713932201031,40556
"venue_2681__base","2681","Citizens Bank Park","PHI","hr_resid",0.00611563688521994,-112.834921006421,0.00119987443574141,41699
"venue_22__base","22","Dodger Stadium","LAD","hr_resid",0.00620440801550171,-115.924312488579,0.00120868865731471,40181
"venue_2529__sutter_health","2529","Sutter Health Park","ATH","hr_resid",0.0068320168428897,-137.766203645145,0.00235920743337204,5251
"venue_2756__buffalo","2756","Sahlen Field","TOR","hr_resid",0.00867330033777839,-201.84610808358,0.00370656007949949,1197
"venue_2__base","2","Oriole Park at Camden Yards","BAL","hr_resid",0.00918779929124382,-219.751576667456,0.00138481128336738,25516
"venue_2602__base","2602","Great American Ball Park","CIN","hr_resid",0.0111424736645814,-287.777683130383,0.00120087936376689,41232
"venue_2536__dunedin","2536","TD Ballpark","TOR","hr_resid",0.0112997161702101,-293.249998915715,0.00384461249554838,1086
"venue_5340__base","5340","Estadio Alfredo Harp Helu","AZ","hr_resid",0.0181727374780452,-532.443230067782,0.00507004871317119,326
